S002VS,S003,S007,S017,S018,S020,C006,E069_06,E069_07,E069_17,G006,A009
3,840,8400320081,0.61526,0.648508,1995,7,3,4,3,1,1
3,840,8400320082,0.74532,0.648508,1995,6,1,2,1,1,2
3,840,8400320083,0.74031,0.648508,1995,5,2,2,2,-3,2
3,840,8400320084,0.74031,0.648508,1995,7,2,2,2,1,2
3,840,8400320085,0.53523,0.648508,1995,6,3,3,3,1,1
3,840,8400320086,0.90038,0.648508,1995,7,2,3,2,1,1
3,840,8400320087,0.90038,0.648508,1995,4,2,3,3,1,1
3,840,8400320088,1.58567,0.648508,1995,6,2,3,2,1,2
3,840,8400320089,0.81034,0.648508,1995,9,4,4,3,1,3
3,840,8400320090,0.89038,0.648508,1995,7,4,4,4,1,2
3,840,8400320091,0.61526,0.648508,1995,5,2,3,2,1,2
3,840,8400320092,1.91081,0.648508,1995,5,4,4,4,1,2
3,840,8400320093,0.97541,0.648508,1995,10,4,4,4,1,1
3,840,8400320094,1.34557,0.648508,1995,7,3,2,2,1,1
3,840,8400320095,0.55023,0.648508,1995,6,3,3,2,1,1
3,840,8400320096,0.98042,0.648508,1995,6,4,4,3,2,2
3,840,8400320097,0.9404,0.648508,1995,8,3,3,3,1,2
3,840,8400320098,0.7003,0.648508,1995,7,2,3,2,1,3
3,840,8400320099,0.72531,0.648508,1995,8,2,2,2,1,3
3,840,8400320100,0.87037,0.648508,1995,6,1,3,2,1,3
3,840,8400320101,0.50021,0.648508,1995,3,2,4,3,2,2
3,840,8400320102,0.90038,0.648508,1995,10,2,2,3,2,2
3,840,8400320103,1.63069,0.648508,1995,5,2,2,2,1,3
3,840,8400320104,1.30555,0.648508,1995,6,3,4,3,2,1
3,840,8400320105,0.91539,0.648508,1995,4,2,3,2,2,2
3,840,8400320106,0.76032,0.648508,1995,9,2,3,3,1,1
3,840,8400320107,0.7053,0.648508,1995,2,4,4,3,1,1
3,840,8400320108,1.30555,0.648508,1995,9,1,4,4,1,1
3,840,8400320109,0.54523,0.648508,1995,4,1,2,2,1,2
3,840,8400320110,0.54023,0.648508,1995,5,2,3,3,1,2
3,840,8400320111,0.54023,0.648508,1995,2,1,3,3,1,2
3,840,8400320112,0.55023,0.648508,1995,3,1,3,2,2,1
3,840,8400320113,0.60025,0.648508,1995,1,2,3,3,1,1
3,840,8400320114,0.68029,0.648508,1995,5,3,3,3,2,2
3,840,8400320115,0.55023,0.648508,1995,1,1,3,2,1,2
3,840,8400320116,1.37058,0.648508,1995,10,3,3,3,1,2
3,840,8400320117,0.90038,0.648508,1995,4,2,3,4,3,3
3,840,8400320118,1.07546,0.648508,1995,10,4,4,1,1,1
3,840,8400320119,1.35057,0.648508,1995,8,2,2,2,1,1
3,840,8400320120,2.20093,0.648508,1995,8,2,2,2,2,1
3,840,8400320121,1.37558,0.648508,1995,5,2,2,2,2,1
3,840,8400320122,1.40059,0.648508,1995,6,2,3,3,1,2
3,840,8400320123,1.26054,0.648508,1995,7,1,3,3,1,3
3,840,8400320124,1.13048,0.648508,1995,6,1,2,3,1,1
3,840,8400320125,0.80534,0.648508,1995,6,3,2,2,2,2
3,840,8400320126,1.60568,0.648508,1995,10,3,3,3,2,3
3,840,8400320127,0.55023,0.648508,1995,5,2,3,3,1,1
3,840,8400320128,0.58525,0.648508,1995,1,1,2,4,1,2
3,840,8400320129,0.59025,0.648508,1995,7,3,3,2,1,2
3,840,8400320130,0.59025,0.648508,1995,1,2,3,3,3,1
3,840,8400320131,0.66028,0.648508,1995,7,3,3,3,2,1
3,840,8400320132,0.60025,0.648508,1995,10,2,2,3,1,2
3,840,8400320133,0.66028,0.648508,1995,7,2,3,2,2,2
3,840,8400320134,0.57524,0.648508,1995,10,2,3,3,1,1
3,840,8400320135,0.88037,0.648508,1995,6,2,3,4,1,1
3,840,8400320136,0.60025,0.648508,1995,8,2,3,-1,1,3
3,840,8400320137,1.12048,0.648508,1995,7,2,2,2,1,2
3,840,8400320138,0.52522,0.648508,1995,6,2,3,2,1,2
3,840,8400320139,0.53523,0.648508,1995,10,2,3,-1,1,2
3,840,8400320140,0.53523,0.648508,1995,5,2,3,2,1,3
3,840,8400320141,0.50021,0.648508,1995,7,3,3,3,1,1
3,840,8400320142,1.15549,0.648508,1995,9,2,2,3,1,2
3,840,8400320143,2.20093,0.648508,1995,9,3,3,3,1,1
3,840,8400320144,1.50064,0.648508,1995,9,-1,3,3,2,1
3,840,8400320145,0.69029,0.648508,1995,6,3,3,3,1,2
3,840,8400320146,1.52565,0.648508,1995,1,3,3,3,1,1
3,840,8400320147,0.54023,0.648508,1995,1,4,4,4,1,1
3,840,8400320148,0.79534,0.648508,1995,6,3,3,3,1,1
3,840,8400320149,0.54023,0.648508,1995,6,2,3,3,1,1
3,840,8400320150,0.58525,0.648508,1995,10,1,3,2,1,2
3,840,8400320151,1.85079,0.648508,1995,8,1,2,2,1,1
3,840,8400320152,1.29555,0.648508,1995,8,2,2,2,1,1
3,840,8400320153,0.74532,0.648508,1995,5,2,3,3,2,2
3,840,8400320154,1.05545,0.648508,1995,8,2,4,2,1,3
3,840,8400320155,0.98042,0.648508,1995,8,2,3,3,2,1
3,840,8400320156,0.52522,0.648508,1995,1,2,4,4,2,2
3,840,8400320157,0.75032,0.648508,1995,8,2,3,2,1,2
3,840,8400320158,0.77533,0.648508,1995,4,2,3,2,1,2
3,840,8400320159,1.13048,0.648508,1995,4,3,3,3,1,1
3,840,8400320160,2.20093,0.648508,1995,8,4,3,3,1,1
3,840,8400320161,0.81535,0.648508,1995,1,1,2,3,2,2
3,840,8400320162,1.26054,0.648508,1995,3,2,3,3,2,2
3,840,8400320163,2.05587,0.648508,1995,7,1,2,2,1,1
3,840,8400320164,2.44104,0.648508,1995,7,2,3,3,1,1
3,840,8400320165,0.65028,0.648508,1995,7,2,3,1,1,2
3,840,8400320166,0.74532,0.648508,1995,3,3,3,3,1,1
3,840,8400320167,1.44561,0.648508,1995,2,2,4,4,2,1
3,840,8400320168,0.65028,0.648508,1995,3,2,3,3,2,4
3,840,8400320169,0.50021,0.648508,1995,5,3,3,4,1,3
3,840,8400320170,0.83535,0.648508,1995,10,2,3,2,1,2
3,840,8400320171,1.1855,0.648508,1995,6,3,3,4,1,2
3,840,8400320172,0.87037,0.648508,1995,9,2,3,4,1,1
3,840,8400320173,0.82535,0.648508,1995,8,3,3,3,2,2
3,840,8400320174,0.72531,0.648508,1995,9,3,3,4,1,3
3,840,8400320175,0.82535,0.648508,1995,10,4,4,4,2,1
3,840,8400320176,2.20093,0.648508,1995,10,2,-1,3,1,2
3,840,8400320177,2.00085,0.648508,1995,2,-1,-1,2,1,-1
3,840,8400320178,0.58525,0.648508,1995,1,-1,-1,-1,1,5
3,840,8400320179,1.20051,0.648508,1995,3,3,3,3,1,2
3,840,8400320180,0.52522,0.648508,1995,8,1,2,3,1,3
3,840,8400320181,0.59025,0.648508,1995,6,2,3,2,1,2
3,840,8400320182,1.24553,0.648508,1995,7,2,2,2,1,1
3,840,8400320183,0.82535,0.648508,1995,7,4,2,3,2,2
3,840,8400320184,2.10089,0.648508,1995,8,2,2,2,1,2
3,840,8400320185,0.78033,0.648508,1995,2,-1,3,4,1,4
3,840,8400320186,2.16092,0.648508,1995,7,2,2,3,1,1
3,840,8400320187,0.68029,0.648508,1995,8,2,2,2,1,1
3,840,8400320188,1.24553,0.648508,1995,5,-1,3,4,1,1
3,840,8400320189,0.6953,0.648508,1995,5,2,3,3,1,4
3,840,8400320190,0.92039,0.648508,1995,6,2,2,3,1,2
3,840,8400320191,1.50564,0.648508,1995,7,2,3,2,1,2
3,840,8400320192,1.00543,0.648508,1995,10,1,3,3,1,1
3,840,8400320193,1.31056,0.648508,1995,7,2,3,2,1,1
3,840,8400320194,0.55023,0.648508,1995,6,2,3,2,-3,2
3,840,8400320195,1.73074,0.648508,1995,8,3,3,3,1,1
3,840,8400320196,0.80034,0.648508,1995,10,2,3,4,1,1
3,840,8400320197,0.80534,0.648508,1995,10,2,2,3,1,1
3,840,8400320198,0.80534,0.648508,1995,7,2,3,4,1,2
3,840,8400320199,1.49063,0.648508,1995,10,3,3,3,2,2
3,840,8400320200,0.53523,0.648508,1995,10,3,3,1,1,3
3,840,8400320201,1.30555,0.648508,1995,2,2,2,2,1,2
3,840,8400320202,0.91039,0.648508,1995,3,2,3,3,1,1
3,840,8400320203,2.76117,0.648508,1995,9,2,3,3,1,1
3,840,8400320204,1.4106,0.648508,1995,7,1,2,2,1,2
3,840,8400320205,0.57024,0.648508,1995,5,1,3,4,1,2
3,840,8400320206,1.05045,0.648508,1995,8,-1,3,3,2,3
3,840,8400320207,0.79034,0.648508,1995,3,-1,-1,3,1,1
3,840,8400320208,1.82077,0.648508,1995,9,1,3,1,2,2
3,840,8400320209,0.57024,0.648508,1995,10,2,3,2,1,3
3,840,8400320210,0.57024,0.648508,1995,7,2,2,2,1,2
3,840,8400320211,1.26054,0.648508,1995,5,-1,1,1,1,1
3,840,8400320212,2.1209,0.648508,1995,4,2,3,3,1,2
3,840,8400320213,1.29555,0.648508,1995,6,1,3,3,1,1
3,840,8400320214,0.80034,0.648508,1995,8,1,2,1,1,1
3,840,8400320215,0.6953,0.648508,1995,8,1,4,4,1,2
3,840,8400320216,0.64527,0.648508,1995,1,3,-1,2,1,4
3,840,8400320217,1.20551,0.648508,1995,4,4,3,3,1,1
3,840,8400320218,0.79534,0.648508,1995,1,3,3,3,2,3
3,840,8400320219,0.97541,0.648508,1995,10,4,4,3,1,2
3,840,8400320220,1.38559,0.648508,1995,3,3,4,3,1,1
3,840,8400320221,0.91039,0.648508,1995,4,3,3,3,2,2
3,840,8400320222,0.80034,0.648508,1995,9,2,4,2,1,2
3,840,8400320223,0.97541,0.648508,1995,9,2,2,1,1,1
3,840,8400320224,0.53023,0.648508,1995,6,4,-1,4,1,4
3,840,8400320225,0.68029,0.648508,1995,10,2,3,3,1,1
