release_year_month,Health,Justice,Money,Police,Politics,topic_share_5,topic_share_6,topic_share_7,topic_share_8,topic_share_9
2004-01-01,0.025013283607486315,0.001805590658709645,0.35162662817344126,0.0008582569260684462,0.005357782687076929,0.026060102361037157,0.22008602932370105,0.34178013468089247,0.026939580757389718,0.00047261082419701895
2004-02-01,0.007512624554969139,0.03194011918590601,0.5205236077459529,0.00983005621794206,0.013093618962558295,0.06223234820366583,0.15025160570361115,0.10285654144603636,0.09174792647605107,0.010011551503307212
2004-03-01,0.07594106957704137,0.01320359950182606,0.5289686505533148,0.00042546157648577483,0.03207147178124653,0.019244973582589114,0.1883629409751299,0.025692027112215694,0.1112383848739047,0.0048514204662461246
2004-04-01,0.026548933118155787,0.00047140574453324424,0.43440494360421694,0.0009205205807858488,0.03237202022130351,0.04571858258782418,0.17888433282382943,0.2179555384762918,0.06008840441350701,0.002635318429552268
2004-05-01,0.03012832604240052,0.001802520139667649,0.3914790962024741,0.0006546338393582334,0.0006222249147585419,0.019045291581752877,0.38949771705204467,0.09830405628078014,0.0633844378152365,0.005081696131526775
2004-06-01,0.008641817101368243,0.012978196823334507,0.5298610639002206,0.04509731906197303,0.025398960275937795,0.03323320927638992,0.13950872151406019,0.1188107759939852,0.06270824210331807,0.023761693949412417
2004-07-01,0.007768214845582824,0.010366035335228719,0.4486384279637994,0.005801922471834492,0.006055692319237161,0.08679230487176243,0.11364874331398402,0.1814924472573657,0.07540054927895469,0.06403566234225058
2004-08-01,0.012343221601499924,0.0003472403096121817,0.4961528067069759,0.0006780610418371927,0.11553313003656401,0.009242004820589109,0.14523688022827072,0.16109215002881014,0.05697979367346213,0.0023947115523786848
2004-09-01,0.003966893854403227,0.1959021034283659,0.4226976547966386,0.009895459951751994,0.013122022687783966,0.03915683790765845,0.1360724671672865,0.055699690613419,0.09143294834628118,0.03205392124641117
2004-10-01,0.014333996098781021,0.00042739863974060533,0.36393738246831703,0.012678878055555422,0.0633628330324461,0.08826420512512245,0.20359315852715912,0.15048128201850847,0.10246128901490552,0.0004595770194643011
2004-11-01,0.00785279535663309,0.0445196732981989,0.3504452943321561,0.009708483285447189,0.024556388167142614,0.018926951438318337,0.22416908122416812,0.16975362542734657,0.13990097780173474,0.010166729668854355
2004-12-01,0.03642547934243103,0.0005223318047335798,0.5183533424580568,0.001019964578847846,0.007786424390991843,0.044197699267346326,0.18023089728208402,0.17267672443870974,0.019193095912546237,0.019594040524252686
2005-01-01,0.015747949986073036,0.04923753686747192,0.34466170065791324,0.036644414901047626,0.007004222479773811,0.038561713993856814,0.14614904130433978,0.16465997832901552,0.18515369051171707,0.01217975096879118
2005-02-01,0.008990413802886914,0.005972002438851794,0.3876926551107482,0.0005771677298434824,0.06482246787511803,0.021086611463135972,0.11481089995570053,0.3655621710083587,0.03016778525298252,0.00031782536237383167
2005-03-01,0.013349901251525405,0.009941998158777405,0.5356756429520585,0.06344488737661536,0.004331724603444577,0.055296568168359844,0.0774179446367698,0.195861318576334,0.04042165951386558,0.004258354762249588
2005-04-01,0.031053391283631545,0.04032157878971805,0.445093902039133,0.0494184424786626,0.07162646150458134,0.032987322060484645,0.11933657716013078,0.14440323238912992,0.0364509756631396,0.029308116631388527
2005-05-01,0.02002964980308252,0.010360646480148708,0.30171223223093946,0.006105359519792166,0.008907160705153414,0.010105792461668206,0.2966112077209031,0.0882540837767473,0.25766155068348384,0.0002523166180812794
