release_year,release_month,release_year_month,relative_relevance_health,relative_relevance_justice,relative_relevance_money,relative_relevance_police,relative_relevance_politics
2003,2,2003-02,0.0405719644676206,0.02319669059370255,0.0,0.0049149319487167,0.0
2003,3,2003-03,0.0,0.0438551015310949,0.0,0.0408505533565496,0.0
2003,6,2003-06,0.0,0.0,0.0081367125825383,0.0,0.0
2003,7,2003-07,0.0092881567378463,0.0,0.0066434062030265,0.0,0.0
2003,8,2003-08,0.01549776460611485,0.0134931370775742,0.033818551470421794,0.0,0.0
2003,9,2003-09,0.02268864917248585,0.0,0.0035151884120039664,0.0,0.0
2003,10,2003-10,0.025886838807606338,0.046183090708293247,0.008080083921777875,0.0013098169089232376,0.0
2003,11,2003-11,0.030880937424295138,0.006094987749544825,0.0138660085241375,0.0,0.0
2003,12,2003-12,0.01565726021351135,0.026641669897244948,0.001248519587094475,0.0,0.0
2004,1,2004-01,0.03373692613204596,0.0,0.00393730725608866,0.00200054024042588,0.0
2004,2,2004-02,0.029547381077991198,0.01764015921455901,0.009278989144699918,0.004947774020294254,0.0
2004,3,2004-03,0.026202142122433367,0.0076813162842802665,0.0,0.0029884308679782663,0.0
2004,4,2004-04,0.06843429450422245,0.007498015743181975,0.060111546898107125,0.0,0.0
2004,5,2004-05,0.026062757365267086,0.0,0.029701253643754172,0.0,0.0
2004,6,2004-06,0.03424917575116199,0.004090388283573208,0.00488871409880463,0.0004752003075456923,0.0
2004,7,2004-07,0.012134250701444617,0.02305933377766022,0.0,0.0,0.0
2004,8,2004-08,0.0195336137383479,0.023361305967033483,0.010913946184587268,0.0049498107756927165,0.0
2004,9,2004-09,0.029095658040399888,0.0,0.0262293163742133,0.0012270956120023818,0.0
2004,10,2004-10,0.049306121855669904,0.0,0.022969523118009764,0.0,0.0
2004,11,2004-11,0.027458660879689716,0.0,0.0024618559988302843,0.0008787651423906211,0.0
2004,12,2004-12,0.0,0.0,0.1492314845674647,0.0,0.0
2005,1,2005-01,0.010365183351445966,0.030403549249635134,0.01507765611430361,0.0175751715071169,0.0011133245019466001
2005,2,2005-02,0.032146890641548,0.004183400181340071,0.004684536262077399,0.0008863819225625857,0.0
2005,3,2005-03,0.04631143423729858,0.008811016452093522,0.009291308493042822,0.0,0.0
2005,4,2005-04,0.03494850537966176,0.019149670758710564,0.0011062746263592231,0.0033687822724496924,0.0
2005,5,2005-05,0.0470995085866078,0.007835036710679066,0.008851269132541218,0.00649064291671125,0.0
2005,6,2005-06,0.031022605077713487,0.01790177051656011,0.007467942971610287,0.0008486874470511125,0.0
2005,7,2005-07,0.021131655350273598,0.00228253045367568,0.01589516169191896,0.00164818222068439,0.0
2005,8,2005-08,0.0365429964252868,0.0,0.0,0.0011086435105907286,0.0
2005,9,2005-09,0.02332653205521868,0.01785812128027467,0.033113944945210735,0.0012539643198589436,0.0
2005,10,2005-10,0.015555135322740238,0.005796709863811462,0.0,0.0,0.0
2005,11,2005-11,0.013129772748622209,0.00994887144396149,0.009371375738155439,0.020377364511772418,0.0019351359504290798
2005,12,2005-12,0.020148378015591755,0.0,0.01673532382499947,0.002905671825619515,0.0
2006,1,2006-01,0.004187898109803162,0.0,0.008459509342350626,0.009776993905074138,0.0
2006,2,2006-02,0.05179270492890065,0.031007566052328184,0.005839744199203766,0.006140635908525117,0.0
2006,3,2006-03,0.002257575347188575,0.0,0.0,0.0,0.0
2006,4,2006-04,0.0355780242486532,0.0,0.0029163610370375875,0.0,0.0
2006,5,2006-05,0.016783358443972343,0.012394493675352511,0.0015264719548337001,0.0025438452898789666,0.0
2006,6,2006-06,0.002540234015142927,0.0,0.004247877248689409,0.0036896713229821816,0.0
2006,7,2006-07,0.03139785974741634,0.0032848205384044846,0.030975337109159187,0.0,0.0
2006,8,2006-08,0.007815747196348715,0.021428910318869683,0.03154580984699108,0.0,0.0
2006,9,2006-09,0.03505978656819583,0.012921304040915982,0.04587677466722138,0.0004910773606270364,0.0
2006,10,2006-10,0.017504751171236753,0.005344039187749786,0.001983049925388453,0.0,0.0
2006,11,2006-11,0.07680536913505842,0.00914961117036925,0.0,0.0,0.0
2006,12,2006-12,0.04410552708940708,0.0,0.004988403396711175,0.0,0.0
2007,1,2007-01,0.02206647268750365,0.006205747514514417,0.03257208358357038,0.008170889152309267,0.0
2007,2,2007-02,0.03063341354297738,0.004047242572161418,0.021666543543025264,0.0,0.0
2007,3,2007-03,0.034379851485152824,0.0,0.00263311582780415,0.0,0.0
2007,4,2007-04,0.03607969084882556,0.03476898415954113,0.015569119195827734,0.0,0.0
2007,5,2007-05,0.018314136707467246,0.023239668067338036,0.004525893027653209,0.006463599170631118,0.0
2007,6,2007-06,0.00904753942774834,0.0,0.0,0.0,0.0
2007,7,2007-07,0.029552594349543184,0.0,0.0,0.0,0.0
2007,8,2007-08,0.02253272050100204,0.01364576679829298,0.13699748606432594,0.0,0.0
2007,9,2007-09,0.03940948344161596,0.01037321334706922,0.0063734949518235995,0.0021978841112881,0.0
2007,10,2007-10,0.02047646344635739,0.0,0.01655315063150003,0.0,0.0
2007,11,2007-11,0.015004702482038317,0.011009038858876217,0.009393690647207046,0.0024613851101612638,0.0
2007,12,2007-12,0.028488682349030833,0.0149523989921687,0.028505742949172335,0.0,0.0
2008,1,2008-01,0.00411589303013402,0.0,0.02062461037914326,0.0,0.0
2008,2,2008-02,0.01679372634933695,0.018194129343125025,0.00303953699273515,0.013105963795256087,0.001224353322626875
2008,3,2008-03,0.02670514722982678,0.0,0.017519179323941432,0.00064557197068995,0.0
2008,4,2008-04,0.04120877067030823,0.02876810302170592,0.018961650541268513,0.0031243360819299,0.0
2008,5,2008-05,0.0,0.005409421393970967,0.023192746056368566,0.0011461522033025333,0.0
2008,6,2008-06,0.02473147213624648,0.018902735600870437,0.023578339502054922,0.00736138116233565,0.0006915261247266786
2008,7,2008-07,0.042053945873325276,0.01787599052570305,0.04121266386006105,0.003787578085538925,0.0
2008,8,2008-08,0.016976602120977777,0.0073001777284697,0.0157770454951482,0.0015467670529996376,0.0
2008,9,2008-09,0.0173493172088468,0.005890423595745,0.0082917762967117,0.0,0.0
2008,10,2008-10,0.060867762837969276,0.02134509186998153,0.0,0.0028158516029712145,0.0
2008,11,2008-11,0.03077815627989265,0.0021475782515863228,0.0025437364827653997,0.0004550304673183077,0.0
2008,12,2008-12,0.02122553272336818,0.00956670374270812,0.03657647384218292,0.0020270002601883398,0.0
2009,1,2009-01,0.021957627598163915,0.011710558100266012,0.018065633080145936,0.0011195262619930874,0.0
2009,2,2009-02,0.009200185356227268,0.007703621388088733,0.0188355123225297,0.0,0.0
2009,3,2009-03,0.0216368321025122,0.01103615065690766,0.0,0.00233834775850362,0.0
2009,4,2009-04,0.04014907460477755,0.010915807956495063,0.025061541327050237,0.0,0.0
2009,5,2009-05,0.025160383009068733,0.010509389092586049,0.0,0.0025812129532694203,0.0
2009,6,2009-06,0.04670322376630547,0.0,0.01836096216494281,0.0,0.0
2009,7,2009-07,0.0113357155055722,0.0,0.005292026023622633,0.0,0.0
2009,8,2009-08,0.013649667689437142,0.019041219621967274,0.019141627419695707,0.0,0.0
2009,9,2009-09,0.017038341656013173,0.0,0.008047195496817445,0.0,0.012430494725235136
2009,10,2009-10,0.020687447040115776,0.0,0.0,0.0,0.0
2009,11,2009-11,0.029677889700870774,0.013362129373700193,0.028681907620692008,0.0,0.0
2009,12,2009-12,0.013277965348089416,0.0,0.0,0.023219186149363732,0.0
2010,1,2010-01,0.034863297966001,0.0,0.002107692441307417,0.0,0.0
2010,2,2010-02,0.02175846974136448,0.0,0.05346641455539368,0.0,0.0
